ID	Genus	Species	CellType	LambdaMax	Method	Stage	refid	Notes
805	Oncorhynchus	tshawytscha	rod	524	microspectrophotometry	adult	15	
806	Oncorhynchus	tshawytscha	single cone	441	microspectrophotometry	adult	15	
807	Oncorhynchus	tshawytscha	double cone	536	microspectrophotometry	adult	15	
808	Oncorhynchus	tshawytscha	double cone	582	microspectrophotometry	adult	15	
809	Salmo	trutta	rod	532	microspectrophotometry	adult	2	
810	Salmo	trutta	single cone	441	microspectrophotometry	adult	2	
811	Salmo	trutta	double cone	535	microspectrophotometry	adult	2	
812	Salmo	trutta	double cone	600	microspectrophotometry	adult	2	
813	Salmo	irideus	rod	512	microspectrophotometry	adult	28	
814	Salmo	irideus	single cone	453	microspectrophotometry	adult	28	
815	Salmo	irideus	single cone	530	microspectrophotometry	adult	28	
816	Salmo	irideus	double cone	498	microspectrophotometry	adult	28	
817	Salmo	irideus	double cone	530	microspectrophotometry	adult	28	
818	Abyssocottus	korotneffi	rod	481	microspectrophotometry	adult	4	
819	Abyssocottus	korotneffi	single cone	494	microspectrophotometry	adult	4	
820	Cottinella	boulengeri	rod	482	microspectrophotometry	adult	4	
821	Cottinella	boulengeri	single cone	496	microspectrophotometry	adult	4	
822	Limnocottus	eurystomus	rod	489	microspectrophotometry	adult	4	
823	Limnocottus	eurystomus	single cone	427	microspectrophotometry	adult	4	
824	Limnocottus	eurystomus	twin cone	512	microspectrophotometry	adult	4	
825	Limnocottus	griseus	rod	485	microspectrophotometry	adult	4	
826	Limnocottus	griseus	single cone	431	microspectrophotometry	adult	4	
827	Limnocottus	griseus	twin cone	503	microspectrophotometry	adult	4	
828	Procottus	jettelesii	rod	505	microspectrophotometry	adult	4	
